Date,Value,Anomaly
192909,67.1,-1.4
192910,61.4,1.9
192911,50.8,1.3
192912,47.9,4.8
193001,39.9,-2.4
193002,48.8,3.5
193003,50.2,1.4
193004,56.2,2.2
193005,56.6,-4.1
193006,69.0,0.7
193007,74.7,0.0
193008,73.3,-0.4
193009,65.0,-3.5
193010,58.1,-1.4
193011,50.0,0.5
193012,41.5,-1.6
193101,43.5,1.2
193102,47.0,1.7
193103,51.3,2.5
193104,57.4,3.4
193105,65.5,4.8
193106,67.8,-0.5
193107,79.5,4.8
193108,75.9,2.2
193109,66.4,-2.1
193110,58.9,-0.6
193111,46.0,-3.5
193112,40.2,-2.9
193201,38.9,-3.4
193202,42.8,-2.5
193203,50.7,1.9
193204,52.8,-1.2
193205,60.4,-0.3
193206,68.9,0.6
193207,73.6,-1.1
193208,73.3,-0.4
193209,70.9,2.4
193210,59.1,-0.4
193211,53.4,3.9
193212,38.4,-4.7
193301,38.3,-4.0
193302,39.8,-5.5
193303,48.8,0.0
193304,52.8,-1.2
193305,55.4,-5.3
193306,67.0,-1.3
193307,77.2,2.5
193308,75.0,1.3
193309,66.7,-1.8
193310,64.1,4.6
193311,51.7,2.2
193312,43.8,0.7
193401,45.3,3.0
193402,48.5,3.2
193403,57.2,8.4
193404,59.8,5.8
193405,64.5,3.8
193406,66.2,-2.1
193407,75.1,0.4
193408,75.2,1.5
193409,69.4,0.9
193410,60.2,0.7
193411,50.7,1.2
193412,44.4,1.3
193501,41.7,-0.6
193502,45.9,0.6
193503,44.5,-4.3
193504,53.6,-0.4
193505,59.9,-0.8
193506,70.6,2.3
193507,73.2,-1.5
193508,74.7,1.0
193509,70.2,1.7
193510,57.6,-1.9
193511,46.5,-3.0
193512,43.7,0.6
193601,44.6,2.3
193602,44.5,-0.8
193603,51.0,2.2
193604,56.4,2.4
193605,63.2,2.5
193606,69.5,1.2
193607,76.5,1.8
193608,75.4,1.7
193609,69.0,0.5
193610,60.5,1.0
193611,50.6,1.1
193612,42.2,-0.9
193701,32.0,-10.3
193702,42.1,-3.2
193703,48.1,-0.7
193704,52.5,-1.5
193705,62.7,2.0
193706,68.6,0.3
193707,76.2,1.5
193708,75.1,1.4
193709,69.9,1.4
193710,61.0,1.5
193711,51.2,1.7
193712,46.5,3.4
193801,44.5,2.2
193802,43.5,-1.8
193803,45.4,-3.4
193804,53.6,-0.4
193805,61.1,0.4
193806,69.4,1.1
193807,75.3,0.6
193808,73.7,0.0
193809,70.4,1.9
193810,57.9,-1.6
193811,46.6,-2.9
193812,45.6,2.5
193901,42.8,0.5
193902,40.4,-4.9
193903,49.2,0.4
193904,58.3,4.3
193905,62.3,1.6
193906,68.4,0.1
193907,75.5,0.8
193908,75.6,1.9
193909,69.1,0.6
193910,59.1,-0.4
193911,51.8,2.3
193912,47.3,4.2
194001,45.4,3.1
194002,46.5,1.2
194003,51.7,2.9
194004,55.7,1.7
194005,64.6,3.9
194006,72.5,4.2
194007,73.7,-1.0
194008,74.7,1.0
194009,66.6,-1.9
194010,60.3,0.8
194011,48.2,-1.3
194012,46.1,3.0
194101,44.6,2.3
194102,47.6,2.3
194103,50.3,1.5
194104,51.3,-2.7
194105,62.2,1.5
194106,66.0,-2.3
194107,75.2,0.5
194108,71.2,-2.5
194109,64.8,-3.7
194110,56.4,-3.1
194111,51.2,1.7
194112,43.9,0.8
194201,43.0,0.7
194202,42.8,-2.5
194203,47.6,-1.2
194204,52.5,-1.5
194205,57.9,-2.8
194206,67.5,-0.8
194207,76.3,1.6
194208,74.2,0.5
194209,67.5,-1.0
194210,60.5,1.0
194211,50.2,0.7
194212,44.6,1.5
194301,43.2,0.9
194302,46.9,1.6
194303,50.4,1.6
194304,55.7,1.7
194305,62.2,1.5
194306,64.4,-3.9
194307,74.3,-0.4
194308,71.8,-1.9
194309,71.3,2.8
194310,59.4,-0.1
194311,50.6,1.1
194312,43.8,0.7
194401,41.9,-0.4
194402,42.3,-3.0
194403,48.0,-0.8
194404,50.9,-3.1
194405,60.5,-0.2
194406,63.7,-4.6
194407,72.4,-2.3
194408,73.0,-0.7
194409,69.7,1.2
194410,61.0,1.5
194411,46.8,-2.7
194412,44.5,1.4
194501,42.4,0.1
194502,45.4,0.1
194503,44.6,-4.2
194504,53.8,-0.2
194505,59.5,-1.2
194506,67.6,-0.7
194507,76.6,1.9
194508,73.3,-0.4
194509,69.8,1.3
194510,61.0,1.5
194511,48.3,-1.2
194512,42.8,-0.3
194601,42.1,-0.2
194602,42.4,-2.9
194603,48.0,-0.8
194604,56.3,2.3
194605,61.0,0.3
194606,67.5,-0.8
194607,74.6,-0.1
194608,74.4,0.7
194609,68.6,0.1
194610,55.3,-4.2
194611,46.2,-3.3
194612,44.2,1.1
194701,40.2,-2.1
194702,48.0,2.7
194703,51.3,2.5
194704,56.2,2.2
194705,65.0,4.3
194706,67.5,-0.8
194707,72.7,-2.0
194708,71.5,-2.2
194709,70.8,2.3
194710,59.4,-0.1
194711,46.0,-3.5
194712,42.0,-1.1
194801,45.4,3.1
194802,42.4,-2.9
194803,44.5,-4.3
194804,51.5,-2.5
194805,58.2,-2.5
194806,67.2,-1.1
194807,72.7,-2.0
194808,71.9,-1.8
194809,68.3,-0.2
194810,59.3,-0.2
194811,47.8,-1.7
194812,38.6,-4.5
194901,32.2,-10.1
194902,39.6,-5.7
194903,46.3,-2.5
194904,57.3,3.3
194905,60.5,-0.2
194906,69.7,1.4
194907,74.0,-0.7
194908,71.5,-2.2
194909,70.2,1.7
194910,57.4,-2.1
194911,54.7,5.2
194912,41.2,-1.9
195001,37.6,-4.7
195002,46.2,0.9
195003,48.4,-0.4
195004,56.3,2.3
195005,60.9,0.2
195006,67.0,-1.3
195007,75.8,1.1
195008,74.4,0.7
195009,67.7,-0.8
195010,61.4,1.9
195011,53.6,4.1
